Time,Concorde 1+2,Cassiopée,Caravelle 2,Saint-Exupéry,Ariane 1+2,Guillaumet 1+2
09:15,Shiny's Holy Grail: Interactivity with reproducibility <br><br> _Joe Cheng_,NA,NA,NA,NA,NA
10:25,Transitioning between various RMarkdown packages for workflow optimization in academic research; a graduate student's perspective. <br><br> _Brent Thorne_,{polite} - web etiquette for R users <br><br> _Dmytro Perepolkin_,R in the Air <br><br> _Enrico SpinielliTamara Pejovic_,Open-access software for research: beyond data analysis <br><br> _Saras Windecker_,A Shiny Webapp for nutritional reformulation of food products according to French front-of-pack “Nutri-Score” label. <br><br> _Romane Poinsot_,NA
10:30,An Approach to Project Workflow for Professional Biostatistical Services <br><br> _Paul Stevenson_,"The R Package sentometrics to Compute, Aggregate and Predict with Textual Sentiment <br><br> _Samuel Borms_",Measuring inequalities from space. Analysis of satellite raster images with R <br><br> _Piotr Wójcik_,Teaching reproducible spatial analysis in R <br><br> _Angela Li_,Using Shiny to track winter pressures in the UK National Health Service (NHS) <br><br> _Fiona Grimm_,NA
10:35,ropsec: a package for easing operations security for the R user <br><br> _Ildiko Czeller_,BibliographeR : a set of tools to help your bibliographic research <br><br> _Cécile SauderJean Delmotte_,SILand: an R package for estimating the spatial influence of landscape <br><br> _Florence Carpentier_,"Use aRt to learn algorithms, math, and R <br><br> _William Chase_",antibioticR: An R package to identify resistant populations in environmental bacteria <br><br> _Thomas Petzoldt_,NA
10:40,compareWith - user-friendly diff viewing and VCS interaction <br><br> _Nicoletta Farabullini_,ggwordcloud: a word cloud geometry for ggplot2 <br><br> _Erwan Le Pennec_,Spatio-temporal Analysis of Diabrotica Emergence <br><br> _Rodelyn Jaksons_,The evolution and importance of the R-Ladies São Paulo chapter in Brazil <br><br> _Beatriz Milz_,MR studies in R: how to use genetic information for identifying modifiable risk factors <br><br> _Daniela Mariosa_,NA
10:45,goodpractice - A Tool for Good Package Development <br><br> _Hannah Frick_,Die Nutella oder Das Nutella? Grammatical Gender Prediction of German Nouns <br><br> _Chung-Hong Chan_,Navigating spatial data management and analysis in Sustainable Fisheries using a combined R-Python approach <br><br> _Annette Scheffer_,Building Active Community at Your Place <br><br> _Binod Jung Bogati_,Streamlining complex analyses of in-vivo data with INVIVOLDA shiny application <br><br> _Volha Tryputsen_,NA
10:50,rt - R Tools for the Command Line <br><br> _Jakob Richter_,Implementing a Classification and Filtering App for Multilingual Facebook Comments  –  A Use Case Of Data For Good with R <br><br> _Johannes Müller_,Dealing with the change of administrative divisions over time <br><br> _Kim Antunez_,Scaling useR Communities with Engagement and Retention Models <br><br> _Eyitayo Alimi_,A shiny web application for disease mapping. Making easy the fit of spatio-temporal models. <br><br> _Aritz Adin_,NA
10:55,NA,queryMed: Linking pharmacological and medical knowledge using semantic Web technologies <br><br> _Nolwenn Le Meur_,"persephone, seasonal adjustment with an object-oriented wrapper for RJDmetra <br><br> _Gregor De Cillia_",NA,NA,NA
11:30,R for Data Science Online Community <br><br> _Dennis Irorere_,Machine Learning with R: do it with a framework <br><br> _Eric Lecoutre_,Using Rcpp* packages for easy and fast Gibbs sampling MCMC from within R <br><br> _Ghislain VieilledentJeanne Clément_,HTTP Requests For R Users and Package Developers <br><br> _Scott Chamberlain_,Flexible futures for fable functionality <br><br> _Mitchell O'hara-Wild_,Reproducible data science to support outbreak responses: experience from the North Kivu Ebola outbreak <br><br> _Thibaut Jombart_
11:48,Insights from the recent R community development and growth in Latin America <br><br> _Laura Acion_,Building and Benchmarking Automatic Machine Learning Systems <br><br> _Erin Ledell_,A toolbox for fitting non-separable space-time log-Gaussian Cox models using R-INLA <br><br> _Elias Krainski_,R and security <br><br> _Colin Gillespie_,Feature-based Time Series Forecasting <br><br> _Thiyanga Talagala_,Advancing data analytics for field epidemiologists using R: the R4epis innovation project <br><br> _Zhian Kamvar_
